seed.source,pedigree,geno,year,rep,male,female,stand,midHeight,midWidth,height,width,flw,dlw,frw,drw
ST401-6,P6139A x P0159B,17,3,1,3,5,2.5,30.83333333,42.16666667,57,54,33.32333333,3.886666667,68.56333333,9.3
ST401-6,P6139A x P0159B,17,1,2,3,5,3,51.33333333,58.66666667,62,53.33333333,37.15,5.11,100.2333333,14.73
ST401-6,P6139A x P0159B,17,2,2,3,5,2.5,63,77.33333333,61.16666667,57,31.61,5.403333333,176.7233333,25.92
ST401-6,P6139A x P0159B,17,3,2,3,5,2.5,31.16666667,41.33333333,63,59.66666667,41.06333333,5.29,80.5,11.46333333
ST403-6,P6139A x Nbh2189B,23,1,1,4,5,3,42,51,61,68.16666667,29.02333333,4.183333333,98.39,12.08333333
ST403-6,P6139A x Nbh2189B,23,2,1,4,5,2.5,57.33333333,75,59.33333333,77.16666667,27.48666667,4.24,148.7,17.78
ST403-6,P6139A x Nbh2189B,23,3,1,4,5,3,30.83333333,39.83333333,57,61.66666667,40.7,5.576666667,72.05333333,8.966666667
ST403-6,P6139A x Nbh2189B,23,1,2,4,5,2,38.66666667,68.66666667,62.66666667,70,28.7,4.226666667,78.2,8.513333333
ST403-6,P6139A x Nbh2189B,23,2,2,4,5,2.5,64,72.33333333,66.5,83.66666667,40.57333333,6.806666667,216.8433333,37.81666667
ST403-6,P6139A x Nbh2189B,23,3,2,4,5,3,32.83333333,41,63.83333333,63,47.30333333,6.42,63.91,8.67
ST405-1,P6139B,29,1,1,5,5,2,18.33333333,29.66666667,28.16666667,32.5,13.63666667,2.063333333,51.56666667,5.683333333
ST405-1,P6139B,29,2,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST405-1,P6139B,29,3,1,5,5,1.5,10.66666667,19.16666667,37,28.66666667,21.47,2.593333333,63.07333333,6.216666667
ST405-1,P6139B,29,1,2,5,5,2,18.66666667,31,40,41.66666667,25.52666667,3.446666667,67.8,7.046666667
ST405-1,P6139B,29,2,2,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA
ST405-1,P6139B,29,3,2,5,5,1.5,10.16666667,21.16666667,31.16666667,30.33333333,24.19333333,2.776666667,45.93333333,4.6
ST407-6,P6139A x 7262B,35,1,1,6,5,3,47.5,59,61.83333333,64.33333333,32.38666667,4.606666667,70.5,10.41333333
ST407-6,P6139A x 7262B,35,2,1,6,5,1,50.5,59,53.33333333,50,32.01333333,5.9,173.69,25.65666667
ST407-6,P6139A x 7262B,35,3,1,6,5,3,27.5,36.33333333,67,69.66666667,43.64,5.3,37.82,4.67
ST407-6,P6139A x 7262B,35,1,2,6,5,2,36.16666667,48.33333333,44.33333333,50,15.96666667,2.59,42.66666667,7.433333333
ST407-6,P6139A x 7262B,35,2,2,6,5,1.5,54.66666667,65,58.33333333,66.66666667,68.29,13.01,192.4866667,31.75
ST407-6,P6139A x 7262B,35,3,2,6,5,3,27.83333333,36.16666667,66.83333333,61.66666667,26.37333333,3.286666667,50.13,7.563333333
ST404-8,7262A x L6038B,6,1,1,1,6,2,22.66666667,42.33333333,30.16666667,43.5,22.11,4.036666667,98.6,14.27
ST404-8,7262A x L6038B,6,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST504-8,7262A x L6038B,6,3,1,1,6,2,17.33333333,25.16666667,36.83333333,43,30.96333333,3.663333333,69.70333333,8.716666667
ST404-8,7262A x L6038B,6,1,2,1,6,2,23.66666667,45.83333333,38,48.66666667,31.05,4.825,108.6,13.52
ST404-8,7262A x L6038B,6,2,2,1,6,1,32.5,31,NA,NA,NA,NA,NA,NA
ST504-8,7262A x L6038B,6,3,2,1,6,1,10.66666667,25,33,40.83333333,35.52666667,4.413333333,49.12666667,5.553333333
ST408-8,7262A x L7550B,12,1,1,2,6,1,20.33333333,46.33333333,43.33333333,56,42.09,6.81,134.85,16.29
ST408-8,7262A x L7550B,12,2,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST508-8,7262A x L7550B,12,3,1,2,6,1,8.25,13,32.75,27.5,51.35,7.515,79.59,9.71
ST408-8,7262A x L7550B,12,1,2,2,6,1,29.66666667,49.66666667,38.66666667,56.83333333,21.565,6.935,146.3,16.105
ST408-8,7262A x L7550B,12,2,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST508-8,7262A x L7550B,12,3,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST401-8,7262A x P0159B,18,1,1,3,6,2,32.83333333,50.66666667,63.66666667,71.83333333,81.33333333,10.14666667,112.6233333,16.94666667
ST401-8,7262A x P0159B,18,2,1,3,6,1,53.66666667,58.66666667,47,58.5,113.43,28.61,396.855,53.245
ST501-8,7262A x P0159B,18,3,1,3,6,1,11,19,29.25,43.5,NA,NA,NA,NA
ST401-8,7262A x P0159B,18,1,2,3,6,2,33.5,44,51.16666667,45,64.87666667,9.373333333,98.98,15.28333333
ST401-8,7262A x P0159B,18,2,2,3,6,1,47.83333333,50,41.25,47,60.845,11.965,162.655,22.385
ST501-8,7262A x P0159B,18,3,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST403-8,7262A x Nbh2189B,24,1,1,4,6,1,21.5,35.5,45.16666667,54.16666667,220.26,30.2,269,39.02
ST403-8,7262A x Nbh2189B,24,2,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
